Date,price,short_sma,long_sma,signal,position,asset_return,strategy_return,buy_hold_return,trade,transaction_cost,strategy_equity,buy_hold_equity,strategy_drawdown,buy_hold_drawdown
2015-06-02,28.991716384887695,28.74450216293335,27.65364274978638,1.0,1.0,-0.004442802358237796,-0.004442802358237796,-0.004442802358237796,0.0,0.0,9832.613270118803,11983.709575601122,-0.016738672988119596,-0.019465659417662207
2015-06-03,29.027406692504883,28.798524570465087,27.696325969696044,1.0,1.0,0.0012310519026665911,0.0012310519026665911,0.0012310519026665911,0.0,0.0,9844.717727393168,11998.46214407517,-0.015528227260683147,-0.01825857075205828
2015-06-04,28.85787010192871,28.852845287323,27.737048301696777,1.0,1.0,-0.005840569651023864,-0.005840569651023864,-0.005840569651023864,0.0,0.0,9787.21896781166,11928.384290217526,-0.021278103218834055,-0.023992499948876755
2015-06-05,28.699472427368164,28.890657329559325,27.78229404449463,1.0,1.0,-0.005488889997808943,-0.005488889997808943,-0.005488889997808943,0.0,0.0,9733.497999512872,11862.910700996928,-0.02665020004871277,-0.029349697753693893
2015-06-08,28.509864807128906,28.892665100097656,27.823497219085695,1.0,1.0,-0.006606658736292514,-0.006606658736292514,-0.006606658736292514,0.0,0.0,9669.192099919705,11784.53649837633,-0.03308079000802955,-0.03576245305291437
2015-06-09,28.42508316040039,28.904934692382813,27.8647819519043,1.0,1.0,-0.0029737653020127652,-0.0029737653020127652,-0.0029737653020127652,0.0,0.0,9640.438191954467,11749.492052637155,-0.03595618080455332,-0.03862986921292355
2015-06-10,28.750783920288086,28.938508224487304,27.915917930603026,1.0,1.0,0.011458216605727767,0.011458216605727767,0.011458216605727767,0.0,0.0,9750.900420932012,11884.12027758355,-0.02490995790679884,-0.027614282016088287
2015-06-11,28.686094284057617,28.967285633087158,27.96824359893799,1.0,1.0,-0.0022500129530318436,-0.0022500129530318436,-0.0022500129530318436,0.0,0.0,9728.96076868119,11857.380853023598,-0.027103923131880925,-0.029802162476895266
2015-06-12,28.369312286376953,28.94743127822876,28.011360473632813,1.0,1.0,-0.011043050843513313,-0.011043050843513313,-0.011043050843513313,0.0,0.0,9621.5233602581,11726.439193392756,-0.03784766397419004,-0.04051610652492965
2015-06-15,28.313549041748047,28.926796436309814,28.052083091735838,1.0,1.0,-0.0019656184847203217,-0.0019656184847203217,-0.0019656184847203217,0.0,0.0,9602.611116090005,11703.389487754275,-0.03973888839099948,-0.042402085801735656
2015-06-16,28.465234756469727,28.897907066345216,28.08801612854004,1.0,1.0,0.00535735433583473,0.00535735433583473,0.00535735433583473,0.0,0.0,9654.055706388126,11766.088692170457,-0.034594429361187395,-0.03727189446411938
2015-06-17,28.398313522338867,28.86701021194458,28.121996479034422,1.0,1.0,-0.0023509812830772026,-0.0023509812830772026,-0.0023509812830772026,0.0,0.0,9631.359202116622,11738.426837880139,-0.03686407978833772,-0.03953525022092652
2015-06-18,28.52769660949707,28.842693996429443,28.15700511932373,1.0,1.0,0.00455601305536768,0.00455601305536768,0.00455601305536768,0.0,0.0,9675.239800382402,11791.907263803,-0.03247601996175986,-0.035159360281712626
