Date,price,short_sma,long_sma,signal,position,asset_return,strategy_return,buy_hold_return,trade,transaction_cost,strategy_equity,buy_hold_equity,strategy_drawdown,buy_hold_drawdown,model_forecast,entry_price,exit_price,long_forecast_price,cash_forecast_price
2015-04-30,27.80255126953125,28.312065505981444,,0.0,0.0,-0.027130149056573,-0.0,-0.027130149056573,0.0,0.0,10000.0,11492.1688475297,0.0,-0.0590227512912936,CASH,,,,27.80255126953125
2015-05-01,28.6467342376709,28.352386283874512,,0.0,0.0,0.0303635072895194,0.0,0.0303635072895194,0.0,0.0,10000.0,11841.11140010406,0.0,-0.0304513817408548,CASH,,,,28.6467342376709
2015-05-04,28.591197967529297,28.36738109588623,,0.0,0.0,-0.0019386597327583,-0.0,-0.0019386597327583,0.0,0.0,10000.0,11818.155514241573,0.0,-0.0323310066060252,CASH,,,,28.591197967529297
2015-05-05,27.94695854187012,28.36504850387573,,0.0,0.0,-0.0225327888111172,-0.0,-0.0225327888111172,0.0,0.0,10000.0,11551.859511902225,0.0,-0.0541352876732381,CASH,,,,27.94695854187012
2015-05-06,27.771455764770508,28.35849475860596,,0.0,0.0,-0.0062798524868697,-0.0,-0.0062798524868697,0.0,0.0,10000.0,11479.315538218436,0.0,-0.0600751785391857,CASH,,,,27.771455764770508
2015-05-07,27.9432315826416,28.349866771698,,0.0,0.0,0.006185337179515,0.0,0.006185337179515,0.0,0.0,10000.0,11550.318975412363,0.0,-0.054261426595055,CASH,,,,27.9432315826416
2015-05-08,28.469709396362305,28.361564350128173,,0.0,0.0,0.018840978079563,0.0,0.018840978079563,0.0,0.0,10000.0,11767.93828204007,0.0,-0.0364427868645351,CASH,,,,28.469709396362305
2015-05-11,28.179691314697266,28.361537837982176,,0.0,0.0,-0.0101868999654101,-0.0,-0.0101868999654101,0.0,0.0,10000.0,11648.059471961808,0.0,-0.0462584478056955,CASH,,,,28.179691314697266
2015-05-12,28.07931327819824,28.362602043151856,,0.0,0.0,-0.0035620701227011,-0.0,-0.0035620701227011,0.0,0.0,10000.0,11606.568267329283,0.0,-0.0496557420935456,CASH,,,,28.07931327819824
2015-05-13,28.110546112060547,28.359895992279053,,0.0,0.0,0.0011123076106904,0.0,0.0011123076106904,0.0,0.0,10000.0,11619.478341547034,0.0,-0.0485986669427002,CASH,,,,28.110546112060547
2015-05-14,28.76639938354492,28.396758460998534,,0.0,0.0,0.0233312177170044,0.0,0.0233312177170044,0.0,0.0,10000.0,11890.574920491685,0.0,-0.0264013153048922,CASH,,,,28.76639938354492
2015-05-15,28.726245880126957,28.44738636016846,,0.0,0.0,-0.0013958473871755,-0.0,-0.0013958473871755,0.0,0.0,10000.0,11873.977492556902,0.0,-0.0277603104850813,CASH,,,,28.726245880126957
2015-05-18,29.04302215576172,28.48219585418701,,0.0,0.0,0.0110274164245705,0.0,0.0110274164245705,0.0,0.0,10000.0,12004.916786983304,0.0,-0.0170390185643052,CASH,,,,29.04302215576172
2015-05-19,29.01625061035156,28.523331260681157,,0.0,0.0,-0.0009217892430951,-0.0,-0.0009217892430951,0.0,0.0,10000.0,11993.850783824812,0.0,-0.0179451014233748,CASH,,,,29.01625061035156
2015-05-20,29.014020919799805,28.545360851287843,,0.0,0.0,-7.684282100051121e-05,-0.0,-7.684282100051121e-05,0.0,0.0,10000.0,11992.929142495925,0.0,-0.0180205652921588,CASH,,,,29.014020919799805
2015-05-21,29.31072235107422,28.570562267303465,,0.0,0.0,0.0102261397030956,0.0,0.0102261397030956,0.0,0.0,10000.0,12115.570511356413,0.0,-0.0079787064072696,CASH,,,,29.31072235107422
2015-05-22,29.567262649536133,28.60181474685669,,0.0,0.0,0.008752438626014,0.0,0.008752438626014,0.0,0.0,10000.0,12221.611298676204,0.0,0.0,CASH,,,,29.567262649536133
2015-05-26,28.915864944458008,28.57417278289795,,0.0,0.0,-0.0220310453760704,-0.0,-0.0220310453760704,0.0,0.0,10000.0,11952.356425586377,0.0,-0.0220310453760704,CASH,,,,28.915864944458008
2015-05-27,29.455717086791992,28.59673843383789,27.438505668640136,1.0,0.0,0.0186697559755151,0.0,0.0186697559755151,0.0,0.0,10000.0,12175.504003384453,0.0,-0.003772603641612,LONG,,,29.455717086791992,
2015-05-28,29.39771842956543,28.63773069381714,27.49055679321289,1.0,1.0,-0.0019690118918398,-0.0029690118918398,-0.0019690118918398,1.0,0.001,9970.3098810816,12151.530291212644,-0.0029690118918399,-0.0057341872320184,LONG,29.39771842956543,,29.39771842956543,
2015-05-29,29.063100814819336,28.700758171081542,27.546077175140383,1.0,1.0,-0.011382434849419,-0.011382434849419,-0.011382434849419,0.0,0.0,9856.823478431672,12013.216289352176,-0.0143176521568327,-0.0170513530688545,LONG,,,29.063100814819336,
2015-06-01,29.121095657348636,28.72447624206543,27.602155380249023,1.0,1.0,0.001995480210416,0.001995480210416,0.001995480210416,0.0,0.0,9876.492574620446,12037.188424721026,-0.0123507425379554,-0.0150898984960482,LONG,,,29.121095657348636,
2015-06-02,28.99171638488769,28.74450216293335,27.65364274978638,1.0,1.0,-0.0044428023582377,-0.0044428023582377,-0.0044428023582377,0.0,0.0,9832.613270118803,11983.709575601122,-0.0167386729881195,-0.0194656594176622,LONG,,,28.99171638488769,
2015-06-03,29.027406692504883,28.798524570465087,27.696325969696044,1.0,1.0,0.0012310519026665,0.0012310519026665,0.0012310519026665,0.0,0.0,9844.717727393168,11998.46214407517,-0.0155282272606831,-0.0182585707520582,LONG,,,29.027406692504883,
2015-06-04,28.85787010192871,28.852845287323,27.737048301696777,1.0,1.0,-0.0058405696510238,-0.0058405696510238,-0.0058405696510238,0.0,0.0,9787.21896781166,11928.384290217526,-0.021278103218834,-0.0239924999488767,LONG,,,28.85787010192871,
2015-06-05,28.699472427368164,28.890657329559325,27.78229404449463,1.0,1.0,-0.0054888899978089,-0.0054888899978089,-0.0054888899978089,0.0,0.0,9733.497999512872,11862.910700996928,-0.0266502000487127,-0.0293496977536938,LONG,,,28.699472427368164,
2015-06-08,28.509864807128903,28.892665100097656,27.82349721908569,1.0,1.0,-0.0066066587362925,-0.0066066587362925,-0.0066066587362925,0.0,0.0,9669.192099919705,11784.53649837633,-0.0330807900080295,-0.0357624530529143,LONG,,,28.509864807128903,
2015-06-09,28.42508316040039,28.904934692382813,27.8647819519043,1.0,1.0,-0.0029737653020127,-0.0029737653020127,-0.0029737653020127,0.0,0.0,9640.438191954468,11749.492052637155,-0.0359561808045533,-0.0386298692129235,LONG,,,28.42508316040039,
2015-06-10,28.75078392028809,28.938508224487304,27.915917930603023,1.0,1.0,0.0114582166057277,0.0114582166057277,0.0114582166057277,0.0,0.0,9750.900420932012,11884.12027758355,-0.0249099579067988,-0.0276142820160882,LONG,,,28.75078392028809,
2015-06-11,28.686094284057617,28.96728563308716,27.96824359893799,1.0,1.0,-0.0022500129530318,-0.0022500129530318,-0.0022500129530318,0.0,0.0,9728.96076868119,11857.380853023598,-0.0271039231318809,-0.0298021624768952,LONG,,,28.686094284057617,
2015-06-12,28.369312286376957,28.94743127822876,28.011360473632813,1.0,1.0,-0.0110430508435133,-0.0110430508435133,-0.0110430508435133,0.0,0.0,9621.5233602581,11726.439193392756,-0.03784766397419,-0.0405161065249296,LONG,,,28.369312286376957,
2015-06-15,28.313549041748047,28.92679643630981,28.05208309173584,1.0,1.0,-0.0019656184847203,-0.0019656184847203,-0.0019656184847203,0.0,0.0,9602.611116090004,11703.389487754275,-0.0397388883909994,-0.0424020858017356,LONG,,,28.313549041748047,
2015-06-16,28.465234756469727,28.897907066345216,28.08801612854004,1.0,1.0,0.0053573543358347,0.0053573543358347,0.0053573543358347,0.0,0.0,9654.055706388126,11766.088692170457,-0.0345944293611873,-0.0372718944641193,LONG,,,28.465234756469727,
2015-06-17,28.398313522338867,28.86701021194458,28.121996479034426,1.0,1.0,-0.0023509812830772,-0.0023509812830772,-0.0023509812830772,0.0,0.0,9631.359202116622,11738.42683788014,-0.0368640797883377,-0.0395352502209265,LONG,,,28.398313522338867,
2015-06-18,28.52769660949707,28.842693996429443,28.15700511932373,1.0,1.0,0.0045560130553676,0.0045560130553676,0.0045560130553676,0.0,0.0,9675.239800382402,11791.907263803,-0.0324760199617598,-0.0351593602817126,LONG,,,28.52769660949707,
2015-06-19,28.242158889770508,28.789265823364257,28.19792112350464,1.0,1.0,-0.0100091403675228,-0.0100091403675228,-0.0100091403675228,0.0,0.0,9578.39896713093,11673.880408798785,-0.042160103286907,-0.0448165856769434,LONG,,,28.242158889770508,
2015-06-22,28.46746826171875,28.73427610397339,28.22743719100952,1.0,1.0,0.0079777673097736,0.0079777673097736,0.0079777673097736,0.0,0.0,9654.813205290877,11767.011910302304,-0.0345186794709123,-0.0371963546593192,LONG,,,28.46746826171875,
2015-06-23,28.33808898925781,28.705387306213375,28.24771547317505,1.0,1.0,-0.0045448113359247,-0.0045448113359247,-0.0045448113359247,0.0,0.0,9610.933900789234,11713.5330611824,-0.0389066099210766,-0.0415721155809332,LONG,,,28.33808898925781,
2015-06-24,28.579011917114254,28.661552047729494,28.27425336837769,1.0,1.0,0.008501735171619,0.008501735171619,0.008501735171619,0.0,0.0,9692.64351556568,11813.118417192576,-0.030735648443432,-0.0334238155265071,LONG,,,28.579011917114254,
2015-06-25,28.44293212890625,28.61381273269653,28.296177635192876,1.0,1.0,-0.0047615287961204,-0.0047615287961204,-0.0047615287961204,0.0,0.0,9646.491714355783,11756.869913677132,-0.0353508285644217,-0.0380261958625219,LONG,,,28.44293212890625,
2015-06-26,28.27562713623047,28.57443904876709,28.316384506225585,1.0,1.0,-0.0058821288859227,-0.0058821288859227,-0.0058821288859227,0.0,0.0,9589.749806794956,11687.714489549857,-0.0410250193205044,-0.0436846497633399,LONG,,,28.27562713623047,
2015-06-29,27.780378341674805,28.5074031829834,28.329625263214112,1.0,1.0,-0.0175150419182422,-0.0175150419182422,-0.0175150419182422,0.0,0.0,9421.784936943488,11483.003680336942,-0.0578215063056511,-0.0604345532097937,LONG,,,27.780378341674805,
2015-06-30,27.98115348815918,28.45687503814697,28.34298538208008,1.0,1.0,0.0072272286581203,0.0072272286581203,0.0072272286581203,0.0,0.0,9489.878331050411,11565.993973616774,-0.0510121668949589,-0.0536440988865719,LONG,,,27.98115348815918,
